ID,name,address,lease type,annual cost per sf,annualCost Max,area,areaMax,parking ratio,comments
B1,Commercial Center,"953 E Sahara Ave, Las Vegas, NV 89104",MG,19.2,,6185,,Abundant, 
B2,1077 E Sahara Ave,"1077 E Sahara Ave, Las Vegas, NV 89104",FSG,9,,8000,,5.00 : 1000,
B3,Desert Inn Office Center,"2795 E Desert Inn Rd, Las Vegas, NV 89121",FSG,10.8,,5384,7167,Abundant,
B4,Desert Inn Office Building,"3120 E Desert Inn Rd, Las Vegas, NV 89121",NNN,10.8,12,5000,7000,2.85 : 1000,
B5,Flamingo Grand Plaza,"1050 E Flamingo Rd, Las Vegas, NV 89119",FSG,15,,5352,,4.29 : 1000,
B6,Century Plaza,"1771 E Flamingo Rd, Las Vegas, NV 89119",FSG,12,15,5196,9549,3.11 : 1000,
B8,Desert Professional Plaza,"2225 E Flamingo Rd, Las Vegas, NV 89119",NNN,15.6,18,29000,44082,3.39 : 1000,
B9,East Flamingo Bussiness Ctr,"3505 E Flamingo Rd, Las Vegas, NV 89121",NNN,19.44,,6063,,6.77 : 1000,
B10,Executive Center,"1455 E Tropicana Ave, Las Vegas, NV 89119",NNN,17.76,,9201,,4.00 : 1000,
B11,Renaissance Office Park,"2235 Renaissance Dr, Las Vegas, NV 89119",NNN,,,4970,5546,3.29 : 1000,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
