name,address,lease type,annual cost per sf,annualCost Max,area,areaMax,parking ratio,comments
City Center West,"7201 W Lake Mead Blvd, Las Vegas, NV 89128",FSG,27.6,,11078,,3.95:1000,High Image Class A building Located in the northwest submarket with visibility from us - 95. Near 2 hospitals and high concentration of retail amenities within walking distance
The Canyons,"1140 N Town Center Dr, Las Vegas, NV 89144",FSG,25.8,,8963,,4:1000,"Sublease expiring Sept 2022. Class A office park with prime Summerlin location. Space has large reception area with 2 conference rooms, 10 offices, 3 large corner offices, multiple bullpen areas, work room  and breakroom"
4245 S Grand Canyon Dr,"4245 S Grand Canyon Dr, Las Vegas, NV 89147",NNN,22.8,28.8,16605,,3.71:1000,Second floor grey shell office over retail. Excellent city and mountain views with immediate access to the 2015 Beltway. Surrounded by numerous retail amenities.
Fort Apache Corporate Ctr,"4730 S Fort Apache Rd, Las Vegas, NV 89147",FSG,28.8,,9065,,5:1000,Multi-tenant high-image building located in the Southwest with frontage along the 215 - Beltway. Building signage available. Suite ready for immediate occupancy.
101 Convention Center,"101 Convention Center Dr, Las Vegas, NV 89109",FSG,18,,7351,16936,9.24:1000,"12 story high-rise located directly off the Las Vegas Strip with easy access to freeways, the convention centers and McCarran International Airport. Onsite caf?, property management, security and building engineer"
The 1785 Office Center,"1785 E Sahara Ave, Las Vegas, NV 89104",FSG,12,,10244,,4.1:1000,"Second generation. Property improvements underway include landscaping, parking lot and common area upgrades, painting and bathroom upgrades. Covered parking available. Central location."
The HC 3773,"3773 Howard Hughes Pkwy, Las Vegas, NV 89169",FSG,34.8,,17997,18080,3.5:1000,"With 1.4 million sq ft and ten Class A buildings. The Hughes Center is the largest masterplanned office campus in the state. Centrally located, this high profile property is minutes from McCarran International Airport, The Strip, UNLV and major hightways. On Site property management, 24/7 security and parking garage. Fitness center available to tenants 24/7. State-of-art telecommunications. Numerous fast food and fine dinning locations on campus. Unmatched flexibility and growth."
The HC 3800,"3800 Howard Hughes Pkwy, Las Vegas, NV 89169",FSG,35.4, ,7919,9873,3.5:1000,"With 1.4 million sq ft and ten Class A buildings. The Hughes Center is the largest masterplanned office campus in the state. Centrally located, this high profile property is minutes from McCarran International Airport, The Strip, UNLV and major hightways. On Site property management, 24/7 security and parking garage. Fitness center available to tenants 24/7. State-of-art telecommunications. Numerous fast food and fine dinning locations on campus. Unmatched flexibility and growth."
The HC 3993,"3993 Howard Hughes Pkwy, Las Vegas, NV 89169",FSG,35.4,,11187,,3.5:1000,"With 1.4 million sq ft and ten Class A buildings. The Hughes Center is the largest masterplanned office campus in the state. Centrally located, this high profile property is minutes from McCarran International Airport, The Strip, UNLV and major hightways. On Site property management, 24/7 security and parking garage. Fitness center available to tenants 24/7. State-of-art telecommunications. Numerous fast food and fine dinning locations on campus. Unmatched flexibility and growth."
Greystone Office Park,"2030 E Flamingo Rd, Las Vegas, NV 89119",FSG,16.2,,3470,16102,6.77:1000,"Class B office park with 5 buildings. Numerous amenities in immediate area. Close to McCarran International Airport, The Strip, downtown and all highways. Convered parking available. Immediate occupancy. Onsite security."
Pointe Flamingo,"4000 S Eastern Ave, Las Vegas, NV 89119",FSG,17.4,19.8,10071,10693,5.3:1000,"Class A office park with two 3-story buildings. Both available spaces have a mix of private offices, open areas and conference rooms. Onste management, security and engineer. Multiple outdoor seating areas."
Miracle Flights for Kids Plz,"5740 S Eastern Ave, Las Vegas, NV 89119",FSG,19.8,,12556,,5:1000,Multi-tenant office park with two 2-story buildings. Award-winning architectural design. Surface and covered parking. Minutes from all major high ways with immediate access to McCarran. Lots of amenities in the immediate area
